id,loss
2,1813.96276855
10,1084.69677734
23,8021.38476562
34,1896.81982422
41,1007.54589844
61,1124.06616211
73,2569.02734375
89,1249.36535645
93,2226.83203125
107,4342.61865234
130,1657.46337891
149,2503.12304688
153,1252.50915527
156,11445.6953125
172,2400.42822266
174,2234.7824707
202,2283.07885742
208,1339.84716797
212,1292.77990723
218,1624.21911621
223,1492.88391113
228,4166.70703125
232,1016.8236084
248,1642.80810547
260,2079.83813477
276,3581.26171875
277,3049.46459961
285,1916.88720703
291,2103.8112793
292,1148.90429688
298,1204.79455566
306,1148.6541748
316,1076.61706543
318,618.360595703
320,1731.47924805
325,4590.00634766
335,3100.69604492
343,2560.17651367
383,1553.07006836
386,1907.70141602
388,4063.26269531
393,1521.49389648
402,1573.56970215
406,1606.00463867
414,1138.44287109
422,3505.66137695
430,1586.93969727
435,2022.28173828
437,1927.25195312
449,12078.7519531
450,1984.83422852
451,1820.16650391
474,2073.37133789
499,1343.6965332
502,5613.11279297
517,1241.93847656
522,2115.00390625
526,1422.9173584
527,1382.62158203
534,1505.11633301
536,3354.77929688
542,841.619628906
552,3304.91137695
561,1897.97900391
563,1574.7109375
576,1130.73937988
584,1498.79516602
592,1477.04638672
599,1275.74523926
603,2126.15893555
605,3504.68969727
608,3940.03173828
621,4507.24755859
625,680.149475098
644,1462.51953125
653,1246.82092285
670,2325.60327148
674,1953.10522461
679,2220.34887695
681,1275.9050293
685,2006.84448242
691,7176.06347656
693,1457.71533203
699,3782.25
784,1490.32702637
786,1085.54052734
797,5299.50537109
806,1771.56640625
821,2201.00512695
829,5373.36523438
836,1605.36999512
837,1446.32922363
843,2486.49658203
854,1427.26306152
857,2991.11816406
860,1831.34350586
867,5245.27636719
878,8735.32519531
881,2725.53491211
890,3300.36865234
893,1704.04052734
895,1723.51623535
900,4238.82373047
917,2851.50097656
921,2093.30664062
926,9789.47851562
930,2047.09692383
936,1786.23095703
938,3883.31665039
951,1979.0859375
970,1980.25830078
987,11057.4228516
988,1507.63464355
992,2078.35668945
993,1758.64562988
997,4734.38134766
1001,1796.76318359
1014,2928.02392578
1020,3600.54907227
1039,10238.2978516
1046,1261.58776855
1062,1662.26208496
1075,897.976806641
1079,5970.88330078
1082,1356.20605469
1092,1006.66125488
1095,2487.61523438
1104,2816.9855957
1112,2212.76782227
1117,2552.90380859
1125,3532.93774414
1128,2237.5390625
1129,4309.15087891
1131,2499.5715332
1134,2111.69799805
1156,1684.83300781
1160,1264.59814453
1161,1749.34228516
1162,3003.55297852
1166,2889.43261719
1167,1868.75683594
1168,860.865356445
1169,712.330993652
1174,4420.984375
1177,3368.42700195
1181,1434.11962891
1187,1961.76318359
1189,5802.52734375
1195,5375.06103516
1198,4431.77197266
1203,3475.76831055
1211,1516.8729248
1226,1616.70092773
1230,1121.07751465
1237,6769.04589844
1256,1633.23486328
1283,2054.57641602
1285,2215.38208008
1288,2830.91748047
1302,1016.71630859
1309,1210.20800781
1317,1811.8626709
1338,1682.99230957
1343,2866.96069336
1345,3517.46606445
1349,5526.54833984
1350,1336.43371582
1364,1503.99951172
1366,2818.66918945
1370,3997.68701172
1372,1125.33459473
1386,1790.31152344
1389,821.456298828
1420,1511.17626953
1439,1084.45849609
1442,2934.20507812
1460,1212.62011719
1466,2011.57641602
1472,1532.71887207
1487,1518.45690918
1524,2581.70825195
1533,6095.0
1535,2190.33105469
1537,686.635192871
1540,3497.28125
1548,1937.60913086
1566,1793.03149414
1578,1751.76794434
1580,1862.56616211
1589,7494.66308594
1606,7454.76611328
1637,839.317504883
1642,1293.72766113
1659,9365.94921875
1661,1126.31384277
1666,2940.80273438
1671,8375.46679688
1702,1366.24487305
1704,1901.34399414
1714,1390.27490234
1717,1724.63647461
1721,3448.3112793
1723,816.952148438
1725,6337.08642578
1726,3018.58276367
1732,1758.23474121
1738,2848.2956543
1742,1996.40917969
1748,2339.33081055
1754,4576.59521484
1767,937.342163086
1768,13708.4355469
1776,1487.17199707
1778,2398.62597656
1781,1965.88208008
1802,1244.88085938
1809,3566.20385742
1815,888.992919922
1823,7791.79589844
1845,3635.32470703
1847,2346.33911133
1859,3557.78344727
1896,1175.6048584
1897,1737.87243652
1907,8752.80273438
1909,1503.19445801
1924,2611.32592773
1925,1488.56762695
1931,1845.69763184
1949,1638.54772949
1954,1189.87878418
1957,6198.38916016
1961,4152.39208984
1965,3622.52978516
1970,954.831420898
1971,4900.41845703
1972,2702.14550781
1977,1262.07434082
1988,4349.01318359
2010,1474.58361816
2023,1775.49902344
2043,5491.61621094
2067,1652.76977539
2075,1131.75378418
2076,1925.11865234
2086,1778.7845459
2098,5892.21191406
2099,10554.6806641
2103,3051.3059082
2104,10482.0136719
2110,1380.02087402
2111,1164.45922852
2112,4861.40722656
2130,2863.04980469
2146,1711.83276367
2148,6889.75097656
2175,3726.78613281
2178,6414.89404297
2180,674.791320801
2186,1666.18322754
2197,2044.84130859
2198,14850.9003906
2203,1345.23425293
2207,2386.64672852
2215,6120.91552734
2218,881.636474609
2240,2023.16040039
2241,1206.85717773
2246,1907.74145508
2251,3517.72485352
2264,1670.78588867
2272,2515.04223633
2278,6364.8125
2286,1645.66174316
2287,9985.07519531
2293,5077.64697266
2298,1517.55249023
2303,938.158203125
2308,7709.62597656
2310,2897.45996094
2311,2113.47436523
2322,6438.17529297
2335,985.984008789
2352,1670.18115234
2356,2016.39892578
2373,1812.89233398
2380,3065.05541992
2390,1812.95861816
2393,1191.6661377
2398,1127.13061523
2399,1334.0604248
2402,4539.98388672
2410,6541.25830078
2419,4477.72558594
2431,3690.86962891
2454,1079.01049805
2459,3579.99609375
2466,8378.55859375
2476,4499.14257812
2486,6497.46582031
2495,6142.31542969
2500,1945.13256836
2517,2004.10791016
2531,725.059753418
2541,1623.85217285
2547,6906.44384766
2559,1258.08642578
2561,2399.60375977
2565,4525.94140625
2570,2417.08349609
2579,4414.47119141
2600,1987.49267578
2608,2109.86230469
2616,2190.14306641
2619,1390.83679199
2622,1386.96606445
2639,1466.98156738
2655,1882.39990234
2687,1105.87268066
2698,1536.76635742
2712,3307.70703125
2748,1263.69897461
2749,3149.73730469
2756,2062.33447266
2758,1996.69824219
2763,5638.29736328
2780,1101.01293945
2793,1657.79907227
2794,1563.82702637
2795,8628.69921875
2798,1633.02502441
2810,1278.53796387
2824,4778.31103516
2831,1136.2421875
2832,663.64251709
2841,4480.43847656
2850,1520.12438965
2852,1329.41296387
2874,1728.78637695
2885,2413.87719727
2904,1824.47888184
2928,1860.45092773
2938,1231.37841797
2953,2684.13671875
2955,4936.359375
2988,10086.3505859
2994,1770.32299805
3000,1957.95874023
3010,1948.27514648
3018,3330.12426758
3019,1952.19384766
3032,1264.23791504
3039,9910.33496094
3051,1325.74902344
3072,4513.44238281
3074,2219.67724609
3106,4161.23828125
3109,1425.54052734
3116,623.875
3119,3820.77368164
3127,1641.83117676
3129,879.230957031
3130,7819.31884766
3148,1680.56152344
3167,1250.90185547
3168,1855.20507812
3179,2577.94091797
3188,1230.16674805
3206,6313.87402344
3211,2189.79785156
3227,1354.52844238
3231,1032.58398438
3246,6182.34277344
3253,4244.19482422
3255,2547.3581543
3256,3121.32470703
3274,2153.44750977
3276,1687.02368164
3283,1986.88549805
3310,827.568237305
3321,1330.0526123
3329,6541.18115234
3331,5665.67138672
3332,2573.51757812
3336,1558.08105469
3346,1950.37402344
3360,6605.98535156
3371,4211.35107422
3402,3187.13232422
3406,2460.08959961
3408,1854.71508789
3451,4225.72900391
3471,2451.46679688
3473,877.296264648
3489,1162.76733398
3493,3247.171875
3496,2669.1730957
3497,5671.15039062
3530,1058.44116211
3536,3729.7980957
3549,4821.48291016
3561,1983.56567383
3562,2305.17089844
3563,1223.67773438
3564,865.510742188
3566,2029.80322266
3571,2059.77294922
3586,1815.70947266
3596,2396.4597168
3603,3147.75415039
3612,1810.81921387
3625,3374.85791016
3626,3696.31689453
3636,5014.36035156
3648,881.094482422
3662,11500.5996094
3665,1302.14025879
3667,1376.76647949
3679,3619.29760742
3682,1084.53381348
3691,3230.34521484
3702,1436.65478516
3707,9669.55761719
3710,1194.94213867
3715,2505.50732422
3717,3266.68237305
3724,2924.01123047
3725,5690.57275391
3735,1030.92700195
3737,2047.15356445
3745,2225.82666016
3753,2080.83618164
3764,2855.11157227
3771,1004.4050293
3782,750.122802734
3788,1742.6463623
3791,2139.72045898
3794,5678.28271484
3817,8564.26367188
3821,2306.234375
3843,6559.00634766
3844,2571.53198242
3854,8376.93066406
3862,1794.42138672
3863,5554.53466797
3870,1437.03808594
3876,2027.85522461
3886,7832.70605469
3889,5750.86474609
3904,4851.47363281
3905,3569.15014648
3906,1334.46203613
3911,2466.22436523
3914,1751.34448242
3925,1546.07141113
3926,956.303710938
3927,9482.94726562
3930,3000.13598633
3937,2218.22290039
3953,1612.0144043
3955,1186.48706055
3956,1624.73156738
3959,3038.33691406
3960,1654.17944336
3969,1361.97131348
3982,2004.16674805
3984,2345.83911133
3999,1410.65405273
4009,2393.29833984
4014,7015.57373047
4024,4860.6015625
4030,2202.67626953
4050,6136.22119141
4076,1551.46325684
4078,1194.51647949
4084,2358.17578125
4086,4422.13476562
4103,904.792602539
4112,1979.43725586
4119,6527.11669922
4134,2161.89501953
4135,1400.47851562
4147,3569.91235352
4154,1700.49658203
4157,1439.49572754
4162,2531.94165039
4164,4150.22607422
4174,1848.66137695
4177,1641.87341309
4184,1113.2956543
4217,4103.22412109
4232,1509.26391602
4233,3094.55419922
4246,2252.76855469
4250,1110.84558105
4252,5401.15332031
4254,1669.91455078
4255,6958.35644531
4269,1363.16943359
4270,3722.44067383
4278,823.229309082
4282,1092.10400391
4285,897.133666992
4303,1116.32006836
4312,4708.83837891
4326,2614.53027344
4344,2787.62060547
4353,3412.80493164
4362,3981.97998047
4388,5682.64013672
4394,2404.59057617
4398,2189.20532227
4406,5089.99804688
4407,3396.90844727
4420,3480.12841797
4423,2072.20410156
4427,2120.46020508
4441,3213.54174805
4462,858.031860352
4463,1194.17736816
4468,1556.0057373
4472,2597.81347656
4473,3349.73168945
4476,2087.92407227
4487,746.22277832
4495,1057.23730469
4520,1925.09130859
4532,1783.46728516
4538,1685.39025879
4555,2044.99023438
4581,2253.95947266
4586,1453.43103027
4603,954.961914062
4604,1115.61401367
4606,2056.27148438
4612,1179.52905273
4623,1950.94311523
4626,1969.36328125
4627,4794.44140625
4639,1525.96362305
4640,2009.92041016
4641,1648.34094238
4645,1816.21899414
4647,1572.89331055
4669,2022.10473633
4675,2067.28833008
4682,4610.30419922
4685,1974.92529297
4687,1971.63720703
4694,4857.88476562
4701,985.861938477
4702,1461.73095703
4704,1601.36975098
4708,2497.44726562
4710,1080.22717285
4727,1006.68774414
4743,1824.83996582
4747,1172.71459961
4748,4043.80761719
4750,1764.42687988
4751,1598.09484863
4768,1373.25695801
4773,2736.58618164
4782,1098.63476562
4788,1909.37231445
4795,2103.86621094
4796,2284.48461914
4836,1405.20495605
4858,915.579711914
4902,1466.92834473
4906,871.721191406
4923,2357.60253906
4937,860.862304688
4942,921.527709961
4945,653.639404297
4947,1275.48840332
4951,7950.38378906
4957,9218.49609375
4961,1614.18261719
4962,1672.98254395
4969,2033.65136719
4974,1142.8717041
5012,922.721557617
5036,2392.90014648
5039,2980.97583008
5055,3689.19262695
5058,1388.25146484
5078,2420.43261719
5083,1132.0402832
5087,1641.61340332
5096,2817.56396484
5101,4376.640625
5102,2028.68920898
5108,2074.88085938
5111,727.815856934
5120,1487.03283691
5123,4568.04345703
5127,1503.11413574
5134,2147.26000977
5139,1064.1427002
5150,4916.73974609
5159,1464.62561035
5165,2851.48339844
5174,1795.71899414
5175,1058.92004395
5193,1357.95227051
5197,4113.61523438
5198,1562.0970459
5199,2874.18505859
5206,2820.98168945
5220,1058.70214844
5236,4628.39453125
5240,1622.70715332
5261,4697.45263672
5269,7930.94384766
5287,1488.17382812
5289,2404.38183594
5290,8203.87792969
5291,1541.0423584
5294,3565.48901367
5309,1106.35913086
5318,3138.00512695
5322,977.467529297
5330,1571.21520996
5333,2459.32470703
5339,1514.98522949
5349,1299.76196289
5356,1964.82470703
5378,2330.01586914
5394,1212.92590332
5395,1379.12158203
5396,2153.03466797
5399,2409.90917969
5402,1293.60375977
5407,1212.24560547
5416,2225.74682617
5418,1476.10144043
5430,4752.00292969
5468,2098.91479492
5469,1051.32470703
5476,1338.7755127
5479,4785.04785156
5491,768.950073242
5496,1702.98852539
5500,1101.52233887
5505,1350.40356445
5511,2872.60522461
5514,1696.58935547
5523,998.671630859
5525,3275.74291992
5526,1161.13085938
5538,3103.46728516
5539,1288.73876953
5546,1832.06140137
5549,1601.16955566
5550,5992.64306641
5555,7544.92431641
5559,2603.85302734
5561,6066.66162109
5587,1548.86621094
5589,4905.79638672
5593,6157.62451172
5599,4747.65527344
5600,3838.19702148
5609,3285.44189453
5620,3696.65136719
5621,7528.52246094
5624,1535.27050781
5647,1342.11035156
5649,2463.98535156
5657,1385.08068848
5664,7432.80957031
5671,1457.38012695
5681,2394.31494141
5686,2240.96679688
5694,1991.61254883
5696,2942.80419922
5701,3461.1027832
5706,2016.91674805
5711,2798.78759766
5715,4054.64794922
5723,1480.80187988
5724,1760.97070312
5725,2495.60717773
5736,1220.21154785
5739,2159.15527344
5740,6603.77246094
5756,3994.30566406
5764,1449.08630371
5776,2626.67529297
5784,7567.42529297
5785,1609.79077148
5790,2391.65795898
5802,1221.47644043
5805,785.138916016
5806,1264.23852539
5825,4036.83984375
5834,12715.0351562
5841,1639.06420898
5851,2549.06567383
5860,1374.58618164
5867,1396.87890625
5876,2216.11694336
5880,1598.49279785
5888,4573.27099609
5890,4869.00097656
5893,983.205566406
5895,4549.359375
5903,3802.38330078
5924,4180.23291016
5929,2880.84155273
5932,1475.94482422
5933,1268.62988281
5935,2634.87402344
5942,5193.98388672
